Criterio,N.. de contratos SCR,Valorizacao em carteira SCR,N.. de contratos FCR,Valorizacao em carteira FCR,N.. de contratos Total,Valorizacao em carteira Total
Preco pre-fixado,3,-486.9,36,15782.6,39,15295.7
Valorizacao anual fixa,2,4949.1,1,8349.2,3,13298.3
Capitalizacao do valor de aquisicao (indexado a Euribor/IPC),8,1727.5,26,6942.1,34,8669.6
Avaliacao a realizar na data de exercicio,41,266.8,189,1383,230,1649.8
"Indexado a performance da empresa, com minimo e maximo definidos",3,352,6,554.8,9,906.8
Contrato (define formula de calculo),7,-15.8,59,909.1,66,893.3
Indexado a performance da empresa,2,2.4,7,13.2,9,15.6
Valor de mercado na data de exercicio,9,0,10,0,19,0
Nao identificado,1,0,3,0,4,0
Total,76,6795.1,337,33934,413,40729.1