Metodologia de Valorizacao,Valias Potenciais 10 ^3 € SCR,Valias Potenciais 10 ^3 € FCR,Valias Potenciais 10 ^3 € Total
Fluxos de caixa descontados (DCF),-15381,-57110,-72491
Fluxos de caixa descontados (DCF + factor de desconto),-3419,-13530,-16949
Preco de mercado,-8783,-16994,-25777
Preco de mercado (com aplicacao do factor de desconto),109,0,109
Outros (1),-4548,-3094,-7642
Transaccoes relevantes,-862,5202,4340
Transaccoes relevantes (com aplicacao do factor de desconto),0,0,0
Valor de aquisicao,0,0,0
Valor de aquisicao (factor de desconto),0,0,0
NAV,1899,26,1925
Multiplos,4601,29292,33893
Multiplos (com aplicacao do factor de desconto),3840,-854,2986
Total,-22544,-57062,-79606